,Time,Voltage,Current,Positive electrode stoichiometry,Discharge capacity [A.h],Battery negative particle concentration overpotential [V],Battery positive particle concentration overpotential [V],X-averaged battery negative reaction overpotential [V],X-averaged battery positive reaction overpotential [V],X-averaged battery concentration overpotential [V],X-averaged battery electrolyte ohmic losses [V],X-averaged battery negative solid phase ohmic losses [V],X-averaged battery positive solid phase ohmic losses [V]
0,0.0,3.5121494891175113,2.3,0.003799999999999999,0.0,-2.7755575615628914e-17,0.0,0.07462757768490856,-0.00629941873289086,0.0,-0.001605576786188334,1.523107596248615e-06,-0.0039480628190853295
1,60.0,3.257327473595816,2.3,0.015444868161946106,0.03833333333333333,8.860203700666869e-06,-0.02716172574287201,0.06894103365268549,-0.002761981674241909,-0.0026185927780476947,-0.0015781634274033463,1.5245838695305618e-06,-0.004332210130753911
2,120.0,3.2409846409370795,2.3,0.027089736323897547,0.07666666666666666,5.251492351836251e-05,-0.004807620763138232,0.0672888332229555,-0.0022166105033907257,-0.0026753918074680625,-0.0015962376530327406,1.5247021300180576e-06,-0.004140391950449018
3,180.0,3.2391145472510496,2.3,0.038734604485855494,0.11499999999999999,0.00022661392807195313,-0.0007984526396955793,0.06619632884709023,-0.0018985313951636051,-0.002718002454931846,-0.0016211468267684705,1.5246655635185886e-06,-0.0038435738784290407
4,240.0,3.2388058450908437,2.3,0.05037947264782356,0.15333333333333332,0.0008149089924303771,-0.00017062457269201303,0.06538384202111093,-0.0016874245905480478,-0.002745289859659263,-0.0016329425157278845,1.524296428520502e-06,-0.0036939022649709052
5,300.0,3.2374770959457786,2.3,0.062024340809776375,0.19166666666666665,0.0025491134209844474,-0.00010217934135647866,0.06475175581974169,-0.001539738859325901,-0.0027530856444895517,-0.0016354394157950631,1.5231692267388281e-06,-0.003664079659877917
6,360.0,3.233472449133976,2.3,0.07366920897172985,0.22999999999999998,0.006854619199281098,-0.00010381007680493326,0.06424522523003014,-0.0014340785137405554,-0.0027531131920499026,-0.001634716306604475,1.5212968046588008e-06,-0.003683377600884885
7,420.0,3.2255529928889755,2.3,0.08531407713367439,0.2683333333333333,0.014954845891928276,-0.00010808095175107724,0.06383370755261997,-0.0013505149902801605,-0.002750263967403947,-0.0016326792193338173,1.5202335009799342e-06,-0.0037209337865968806
8,480.0,3.215536551040134,2.3,0.09695894529562515,0.30666666666666664,0.025021730840606785,-0.00010991912376079327,0.06349881122133341,-0.001284225490964186,-0.0027457771718506765,-0.0016298079825389786,1.5207524954443303e-06,-0.0037656119759410522
9,540.0,3.207593431586175,2.3,0.1086038134576184,0.345,0.03285324981586796,-0.00011051571160036744,0.06322746242761709,-0.0012293193995795981,-0.002740586150221312,-0.0016266213645644138,1.5219000107161238e-06,-0.0038122066683889955
10,600.0,3.2031597720197738,2.3,0.12024868161958607,0.3833333333333333,0.03691923841117982,-0.00011068211250631066,0.0630109924200708,-0.0011826962938688013,-0.002735267278289906,-0.0016234106617993558,1.522984525147963e-06,-0.003858318935494598
11,660.0,3.201076715154111,2.3,0.13189354978153775,0.42166666666666663,0.03816555051957041,-0.00011072460433458886,0.06284266765622892,-0.0011424385331140208,-0.0027300647795335275,-0.0016203015883954597,1.5237463566062839e-06,-0.0039027336014991754
12,720.0,3.200106498732848,2.3,0.14353841794346134,0.45999999999999996,0.03740144840904133,-0.00011073785003512526,0.06271996935110202,-0.0011071832415829874,-0.002725067150932187,-0.001617329933326605,1.524179141120642e-06,-0.0039447944904318355
13,780.0,3.1995878000290983,2.3,0.15518328610539472,0.4983333333333333,0.034587092119113316,-0.00011074691994661379,0.0626357966455918,-0.0010759695019233462,-0.0027202736634500476,-0.0016144910530506078,1.5243824103867124e-06,-0.003984188062482019
14,840.0,3.199224725869634,2.3,0.16682815426737477,0.5366666666666666,0.02927883958470341,-0.00011075698263152134,0.06259004403471097,-0.001048094337401384,-0.002715669144641287,-0.00161177497813088,1.524448688334158e-06,-0.0040207980413939914
15,900.0,3.198894361941627,2.3,0.1784730224293319,0.575,0.021757468383274664,-0.00011076828322664767,0.06258010176694553,-0.0010230351807871685,-0.0027112447171559,-0.0016091762315117637,1.5244351956700993e-06,-0.004054640583400548
16,960.0,3.1985410417929128,2.3,0.1901178905912567,0.6133333333333333,0.013881659718578021,-0.00011078020798072075,0.06260539893531183,-0.0010003840442025513,-0.0027069996684025996,-0.001606694287473647,1.5243697767918039e-06,-0.004085780687856921
17,1020.0,3.1981354258000003,2.3,0.20176275875319397,0.6516666666666666,0.007808111443470739,-0.00011079218067733265,0.06266444490513096,-0.0009798279698252088,-0.002702939490225762,-0.0016043311891446887,1.5242604465785257e-06,-0.0041143538092529575
18,1080.0,3.1976534559313006,2.3,0.2134076269151466,0.69,0.0041769383435941165,-0.0001108038269035383,0.06275697573467384,-0.000961107556946672,-0.0026990718190276295,-0.0016020904424170392,1.5241041102458784e-06,-0.004140512330788937
19,1140.0,3.197068258223169,2.3,0.22505249507710298,0.7283333333333333,0.0024083136444546793,-0.00011081494986742157,0.06288268088729132,-0.0009440218482672513,-0.002695407997449951,-0.0015999775663145688,1.5238883508772128e-06,-0.004164408344620618
20,1200.0,3.196343429107001,2.3,0.2366973632390413,0.7666666666666666,0.0017683558618224737,-0.00011082544707319286,0.06304164045198055,-0.0009283985336319134,-0.002691954920114655,-0.0015979954998647165,1.523594301966858e-06,-0.004186245233742003
21,1260.0,3.1954271440807815,2.3,0.24834223140098122,0.8049999999999999,0.0017956645679916283,-0.00011083532901201565,0.06323462432036042,-0.0009140926748689715,-0.0026887259218866134,-0.0015961511378545633,1.5231976411214564e-06,-0.004206160272900217
22,1320.0,3.1942472325030047,2.3,0.2599870995629429,0.8433333333333333,0.002288802275613122,-0.000110844650621722,0.06346137965011237,-0.0009009818801275493,-0.0026857316072657683,-0.0015944493856418713,1.522673377152849e-06,-0.004224315694349112
23,1380.0,3.192700890135567,2.3,0.2716319677248966,0.8816666666666666,0.0032142950905150736,-0.00011085351663320253,0.06372359618125595,-0.0008889626337453826,-0.0026829780222144143,-0.001592892278494614,1.5220045899190323e-06,-0.0042408619136713455
24,1440.0,3.1906498541938246,2.3,0.2832768358868742,0.9199999999999999,0.004643614482985198,-0.00011086207720056862,0.06402238948537203,-0.0008779446609219477,-0.002680460405182575,-0.001591474691267916,1.5211993426437093e-06,-0.004255938474079457
25,1500.0,3.187915768548192,2.3,0.2949217040488572,0.9583333333333333,0.006719609974761315,-0.00011087053310010475,0.06435851356581573,-0.0008678496308682782,-0.0026781555637879124,-0.0015901799900921525,1.520307804600381e-06,-0.004269675620881319
26,1560.0,3.1842823540771734,2.3,0.30656657221083,0.9966666666666666,0.009633009353720301,-0.00011087914981366964,0.06473465346951457,-0.0008586093251299332,-0.002676016285953629,-0.001588977017207251,1.519434923598441e-06,-0.004282193946175017
27,1620.0,3.1795200726868424,2.3,0.3182114403727958,1.035,0.013589556426863214,-0.0001108882811009515,0.06515375120476644,-0.0008501640658491461,-0.002673974621608292,-0.0015878235147022929,1.5187288335866828e-06,-0.004293602881189074
28,1680.0,3.1734414890785345,2.3,0.32985630853474357,1.0733333333333333,0.01875189479718009,-0.00011089840446620869,0.06561570744320747,-0.0008424612096105122,-0.002671970922965977,-0.0015866872202242033,1.518300049560217e-06,-0.004304004340227596
29,1740.0,3.16597686556363,2.3,0.3415011766967108,1.1116666666666666,0.02515126504096199,-0.00011091017383302315,0.06612522924627623,-0.0008354549685503088,-0.002669976789523688,-0.001585553150324103,1.518191285945169e-06,-0.00431349270245418
30,1800.0,3.15727146629436,2.3,0.35314604485864787,1.15,0.032590401416478454,-0.0001109244945585175,0.06668658082312451,-0.0008291050744775319,-0.0026679980085452136,-0.0015844283717362908,1.5183604989213055e-06,-0.0043221474682835215
31,1860.0,3.1477317115632557,2.3,0.36479091302060634,1.1883333333333332,0.04059242183375991,-0.00011094262894451035,0.06730258175472273,-0.000823376112317753,-0.0026660662553155126,-0.00158333311277803,1.5187118278452141e-06,-0.0043300488421520456
32,1920.0,3.137963046760473,2.3,0.37643578118255283,1.2266666666666666,0.04845343295671298,-0.00011096634774521164,0.06797720704415838,-0.0008182372971057283,-0.0026642137834414813,-0.0015822855213685994,1.519157334926107e-06,-0.0043372698510268926
33,1980.0,3.128601477941215,2.3,0.3880806493445039,1.265,0.05540261595049373,-0.00011099814299209143,0.06871678688690949,-0.0008136617312817229,-0.002662462547317022,-0.0015812974651267316,1.5196335103688316e-06,-0.004343878357271347
34,2040.0,3.1201204596951557,2.3,0.39972551750645957,1.3033333333333332,0.06079320758934206,-0.00011104152862895234,0.06952717314036774,-0.0008096260451742054,-0.0026608266215260505,-0.0015803768265019243,1.5200922449860049e-06,-0.004349938768235084
35,2100.0,3.1127012817348967,2.3,0.4113703856684207,1.3416666666666666,0.06423331726190246,-0.00011110146319870395,0.07041500068648401,-0.0008061100350578165,-0.0026593214601678865,-0.001579533326599168,1.5204790129146581e-06,-0.004355511343681062
36,2160.0,3.106191444022599,2.3,0.42301525383037375,1.38,0.06564151886073957,-0.0001111849442474444,0.07139228502807937,-0.0008030965806500312,-0.0026579747595852576,-0.001578785435979091,1.5207059546246325e-06,-0.004360654641092587
37,2220.0,3.1001041367598736,2.3,0.43466012199232884,1.4183333333333332,0.06530255679779728,-0.00011130184135854648,0.07246627041814074,-0.000800571234519154,-0.0026568360436246127,-0.001578164554097026,1.520635236300234e-06,-0.004365427168314451
38,2280.0,3.093516099313896,2.3,0.4463049901542595,1.4566666666666666,0.06403249697249977,-0.0001114660589562888,0.07365226724240823,-0.0007985221525066422,-0.002655967700369725,-0.0015777070072092911,1.5201077163861573e-06,-0.004369889551046668
39,2340.0,3.0848171690060395,2.3,0.4579498583162214,1.4949999999999999,0.0635290272060276,-0.00011169715291581284,0.07496425179941688,-0.0007969395838189897,-0.0026553642014743987,-0.0015773960497218894,1.5191614413202327e-06,-0.004374108982588165
40,2400.0,3.0712951667384267,2.3,0.4695947264781649,1.5333333333333332,0.0668372802890872,-0.00011202256103493013,0.07642188797479169,-0.0007958153270606338,-0.002654814070246427,-0.0015770836713456231,1.5183379866576017e-06,-0.004378161626008126
41,2460.0,3.0490852008915583,2.3,0.4812395946401164,1.5716666666666665,0.07836427696515724,-0.00011248065540492291,0.07805167043579714,-0.0007951428108197156,-0.0026540310000440466,-0.0015766120246964747,1.5182265438670847e-06,-0.004382130823632924
42,2520.0,3.0149839545060626,2.3,0.49288446280207443,1.6099999999999999,0.10191874890798946,-0.00011312486748016326,0.0798873425699243,-0.0007949178895629849,-0.0026530545096969853,-0.0015761017655461325,1.5183395390904545e-06,-0.004386113020470983
43,2580.0,2.970667875733456,2.3,0.5045293309640198,1.6483333333333332,0.13630207434368002,-0.00011402915920033507,0.08196839613138307,-0.0007951379855026808,-0.002651980792835726,-0.0015755453838171701,1.5186655345039307e-06,-0.004390244619059125
44,2640.0,2.9232110815016075,2.3,0.516174199125982,1.6866666666666665,0.17463333159353872,-0.00011529509478780398,0.08435266302644895,-0.0007958015544744512,-0.002650988706426566,-0.0015748947506192099,1.5193549819953368e-06,-0.004394666975767514
45,2700.0,2.8768711261613054,2.3,0.5278190672879407,1.7249999999999999,0.21250664299098632,-0.00011706067270278453,0.08711973929709876,-0.0007969065628987693,-0.002650049030092109,-0.001574318090455525,1.5196925438870493e-06,-0.00439960841000131
46,2760.0,2.826881790643781,2.3,0.539463935449913,1.7633333333333332,0.25417474670210105,-0.00011951070533822161,0.09038523705576368,-0.0007984511439369513,-0.0026491564478015026,-0.001573800158914619,1.5196792099164025e-06,-0.004405314214056766
47,2820.0,2.7610491800976193,2.3,0.5511088036119018,1.8016666666666665,0.31086375069706634,-0.00012288833560170076,0.0943256174489594,-0.0008004317388774496,-0.002648198369080774,-0.0015732274204497791,1.519664348983453e-06,-0.0044121104400347555
48,2880.0,2.661066966545147,2.3,0.562753671773881,1.8399999999999999,0.39918269904599446,-0.0001275056347145309,0.09923615278563735,-0.0008028432661788543,-0.0026470757461856793,-0.0015725480886344284,1.5197418624274082e-06,-0.0044203793307633354
